light_curve_id,kind,zooniverse_id,p_radius
70,-1,APH10040779,0
279,-1,APH10023585,0
307,-1,APH10131019,0
511,-1,APH10043079,0
723,-1,APH10093049,0
834,-1,APH10071568,0
966,-1,APH10090959,0
1485,-1,APH10075160,0
1505,-1,APH10024165,0
2425,-1,APH10029854,0
3532,-1,APH10100527,0
3980,-1,APH10012887,0
4094,-1,APH10028206,0
4178,-1,APH10074430,0
4234,-1,APH10031197,0
5396,-1,APH10089288,0
5731,-1,APH10130592,0
6167,-1,APH10100814,0
6634,-1,APH10115542,0
6917,-1,APH10097021,0
7356,-1,APH10110634,0
7457,-1,APH10028458,0
7996,-1,APH10083908,0
8197,-1,APH10086150,0
8275,-1,APH10111689,0
8323,-1,APH10104421,0
8403,-1,APH10087826,0
8485,-1,APH10028177,0
8602,-1,APH10149985,0
9807,-1,APH10146295,0
10101,-1,APH10093756,0
10214,-1,APH10069514,0
10313,-1,APH10079780,0
10841,-1,APH10120885,0
11386,-1,APH10074356,0
11986,-1,APH10145081,0
12036,-1,APH10084542,0
12162,-1,APH10013132,0
12198,-1,APH10121421,0
12296,-1,APH10143508,0
12677,-1,APH10083842,0
13301,-1,APH10083816,0
13390,-1,APH10115602,0
13824,-1,APH10075173,0
14007,-1,APH10083532,0
14495,-1,APH10121386,0
14603,-1,APH10114501,0
14843,-1,APH10038808,0
14854,-1,APH10137820,0
15126,-1,APH10014849,0
15196,-1,APH10073203,0
15361,-1,APH10075029,0
15393,-1,APH10049641,0
15756,-1,APH10092279,0
16510,-1,APH10062476,0
16595,-1,APH10084253,0
18868,-1,APH10127972,0
19075,-1,APH10069337,0
19435,-1,APH10012977,0
20920,-1,APH10119087,0
21890,-1,APH10039303,0
23176,-1,APH10129801,0
23291,-1,APH10106964,0
23323,-1,APH10049082,0
23574,-1,APH10122267,0
23886,-1,APH10027740,0
24414,-1,APH10076160,0
25351,-1,APH10006867,0
25908,-1,APH10136003,0
26397,-1,APH10103195,0
27777,-1,APH10013400,0
28296,-1,APH10025652,0
28536,-1,APH10075534,0
29931,-1,APH10115728,0
30150,-1,APH10016633,0
30213,-1,APH10146824,0
31797,-1,APH10108545,0
32641,-1,APH10124694,0
32960,-1,APH10104787,0
33250,-1,APH10040781,0
33416,-1,APH10066252,0
33537,-1,APH10081667,0
34508,-1,APH10037575,0
35678,-1,APH10033426,0
35967,-1,APH10090244,0
36646,-1,APH10018199,0
36796,-1,APH10144253,0
38339,-1,APH10133414,0
38481,-1,APH10091566,0
38487,-1,APH10022375,0
38812,-1,APH10142136,0
39228,-1,APH10143167,0
39294,-1,APH10034326,0
41075,-1,APH10051392,0
41087,-1,APH10042640,0
41399,-1,APH10023780,0
42125,-1,APH10003202,0
42143,-1,APH10022312,0
42267,-1,APH10121857,0
42635,-1,APH10101046,0
42844,-1,APH10038623,0
42881,-1,APH10045137,0
44694,-1,APH10105301,0
44909,-1,APH10127714,0
45917,-1,APH10007334,0
46385,-1,APH10006865,0
47514,-1,APH10077818,0
48002,-1,APH10138473,0
48331,-1,APH10040473,0
48788,-1,APH10005676,0
49426,-1,APH10129044,0
49540,-1,APH10106963,0
49744,-1,APH10036112,0
50075,-1,APH10067097,0
50256,-1,APH10052225,0
51301,-1,APH10075461,0
51493,-1,APH10045030,0
51926,-1,APH10131158,0
52807,-1,APH10063319,0
53175,-1,APH10088867,0
53747,-1,APH10100963,0
54214,-1,APH10004404,0
55174,-1,APH10066374,0
55244,-1,APH10005768,0
55381,-1,APH10024957,0
55738,-1,APH10137194,0
55763,-1,APH10102471,0
55906,-1,APH10061252,0
55988,-1,APH10134314,0
56149,-1,APH10146011,0
56199,-1,APH10124556,0
56320,-1,APH10108523,0
56889,-1,APH10097949,0
57612,-1,APH10046757,0
57670,-1,APH10071988,0
57739,-1,APH10057452,0
58514,-1,APH10050896,0
58876,-1,APH10095828,0
59033,-1,APH10101109,0
60534,-1,APH10137374,0
60542,-1,APH10071756,0
60557,-1,APH10047624,0
61212,-1,APH10028937,0
61606,-1,APH10038589,0
61781,-1,APH10066082,0
61806,-1,APH10126761,0
61933,-1,APH10027143,0
61934,-1,APH10023197,0
62616,-1,APH10077210,0
62936,-1,APH10083870,0
62962,-1,APH10030396,0
63814,-1,APH10006513,0
64139,-1,APH10037622,0
64626,-1,APH10067885,0
64841,-1,APH10078632,0
65608,-1,APH10148610,0
66274,-1,APH10054492,0
66614,-1,APH10119119,0
66819,-1,APH10000854,0
66831,-1,APH10033700,0
67103,-1,APH10125088,0
67382,-1,APH10104331,0
67777,-1,APH10134171,0
67798,-1,APH10083590,0
69071,-1,APH10107101,0
69260,-1,APH10114364,0
69731,-1,APH10039555,0
69827,-1,APH10047392,0
70970,-1,APH10130187,0
71577,-1,APH10132331,0
71725,-1,APH10041130,0
71903,-1,APH10037376,0
72295,-1,APH10112856,0
72603,-1,APH10146845,0
73239,-1,APH10128889,0
73284,-1,APH10116293,0
73681,-1,APH10129277,0
73956,-1,APH10041792,0
74432,-1,APH10109788,0
74551,-1,APH10074734,0
74630,-1,APH10103647,0
74719,-1,APH10030477,0
75726,-1,APH10085425,0
76174,-1,APH10063524,0
77201,-1,APH10033736,0
77276,-1,APH10064669,0
77398,-1,APH10011297,0
77622,-1,APH10017380,0
78085,-1,APH10102884,0
79198,-1,APH10090631,0
79297,-1,APH10114441,0
79371,-1,APH10064769,0
79556,-1,APH10040100,0
79914,-1,APH10057612,0
80136,-1,APH10037522,0
80637,-1,APH10142573,0
80691,-1,APH10037168,0
80791,-1,APH10047051,0
80844,-1,APH10023084,0
81247,-1,APH10004510,0
81896,-1,APH10068764,0
84453,-1,APH10057794,0
85237,-1,APH10045008,0
85529,-1,APH10022839,0
85590,-1,APH10135141,0
86201,-1,APH10075309,0
86709,-1,APH10133511,0
86826,-1,APH10148212,0
87046,-1,APH10069420,0
87218,-1,APH10140542,0
87281,-1,APH10134773,0
87493,-1,APH10144761,0
88108,-1,APH10066331,0
88379,-1,APH10044776,0
89018,-1,APH10050764,0
89093,-1,APH10043910,0
89095,-1,APH10115735,0
89303,-1,APH10056032,0
89540,-1,APH10038609,0
90304,-1,APH10107186,0
90644,-1,APH10030818,0
91377,-1,APH10036129,0
91433,-1,APH10116215,0
91447,-1,APH10097686,0
92267,-1,APH10105134,0
92325,-1,APH10071824,0
92597,-1,APH10064850,0
93461,-1,APH10053482,0
94717,-1,APH10087214,0
95856,-1,APH10121227,0
95865,-1,APH10050057,0
98181,-1,APH10146915,0
98678,-1,APH10041982,0
98691,-1,APH10132936,0
99086,-1,APH10086226,0
99406,-1,APH10066866,0
100642,-1,APH10074920,0
102009,-1,APH10145996,0
102431,-1,APH10116043,0
102481,-1,APH10009055,0
102712,-1,APH10032348,0
103005,-1,APH10036891,0
105980,-1,APH10129824,0
106151,-1,APH10059028,0
107148,-1,APH10069735,0
107215,-1,APH10084866,0
107299,-1,APH10018442,0
107362,-1,APH10047448,0
108027,-1,APH10049883,0
108173,-1,APH10015597,0
