light_curve_id,kind,zooniverse_id,p_radius,p_period
639297,3,APH10988890,2.08,8.5
639298,3,APH10847909,12.76,4.33
639299,3,APH10392961,2.12,8.49
639300,3,APH10556676,2.63,4.26
639301,3,APH10805535,4.83,12.81
639302,3,APH10220405,3.25,7.01
639304,3,APH10882994,2.05,6.49
639305,3,APH10969504,4.44,1.12
639306,3,APH10476763,5.23,5.69
639307,3,APH10655020,11.13,0.99
639309,3,APH10427805,3.31,1.84
639310,3,APH10565466,4.8,5.98
639311,3,APH10990236,2.79,12.34
639312,3,APH10642070,11.28,6.05
639313,3,APH10350250,3.81,9.43
639314,3,APH10642887,2.91,10.85
639315,3,APH10723664,6.1,3.99
639316,3,APH10159376,9.89,1.71
639317,3,APH10508642,13.87,4.94
639318,3,APH10742984,8.66,9.85
639319,3,APH10762084,8.04,2.51
639320,3,APH10468202,13.35,8.1
639321,3,APH10859515,6.95,13.57
639322,3,APH10546761,6.37,1.7
639323,3,APH10941917,14.79,8.93
639324,3,APH10689153,4.13,13.13
639325,3,APH10997493,9.58,3.18
639326,3,APH10530765,2.93,14.43
639327,3,APH10579558,9.94,4.41
639328,3,APH10279408,5.2,9.95
639329,3,APH10591232,2.78,1.6
639330,3,APH10937211,8.68,12.28
639331,3,APH10738222,2.95,7.25
639332,3,APH10665921,4.87,3.26
639333,3,APH10222654,11.62,11.75
639334,3,APH10980426,13.27,5.51
639335,3,APH10303386,5.8,4.57
639336,3,APH10969517,6.66,8.02
639337,3,APH10922435,2.56,11.46
639338,3,APH10220715,6.49,2.67
639339,3,APH10603884,4.65,7.95
639340,3,APH10175656,14.75,9.28
639341,3,APH10900095,3.84,9.22
639342,3,APH10428046,6.83,11.63
639343,3,APH10412883,5.66,6.94
639344,3,APH10758340,2.88,8.22
639345,3,APH10726481,3.16,10.56
639346,3,APH10779891,3.59,2.84
639347,3,APH10168857,3.63,2.87
639348,3,APH10950404,3.76,7.46
639349,3,APH10920661,13.85,10.94
639350,3,APH10979652,3.51,4.69
639351,3,APH10164308,3.9,5.04
639352,3,APH10690065,3,6.76
639353,3,APH10914482,3.51,5.19
639354,3,APH10670146,7.64,4.83
639355,3,APH10660735,2.73,2.59
639356,3,APH10647419,5.46,8.72
639357,3,APH10524473,2.44,7.98
639358,3,APH10889924,3.7,11.68
639359,3,APH10487728,2.26,9.52
639360,3,APH10502264,6.26,10.78
639361,3,APH10788941,13.24,1.68
639362,3,APH10858721,10.14,9.58
639363,3,APH10583001,3.89,10.8
639364,3,APH10541942,2.56,10.03
639365,3,APH10412816,3.83,7.29
639366,3,APH10744462,3.78,4.57
639367,3,APH10559532,6.13,2.63
639369,3,APH10490855,9.59,5.39
639370,3,APH10914068,5.18,2.01
639371,3,APH10229708,4.42,1.44
639372,3,APH10892589,8.17,5.04
639373,3,APH10431280,2.16,1.8
639374,3,APH10718112,2.72,13.03
639375,3,APH10230372,3.76,4.91
639376,3,APH10769047,2.7,5.32
639377,3,APH10345552,2.99,0.88
639378,3,APH10783117,11.81,9.29
639379,3,APH10388809,2.3,6.74
639380,3,APH10445891,9.92,12.45
639381,3,APH10172531,5.22,13.46
639382,3,APH10338376,7.97,10.7
639383,3,APH10159059,4.81,1.46
639384,3,APH10369788,3.08,6.94
639385,3,APH10366219,3.45,7.63
639386,3,APH10588421,3.25,8.05
639387,3,APH10399785,14.8,12.44
639388,3,APH10292838,14.46,5.99
639389,3,APH10954223,2.06,10.52
639390,3,APH10333048,6.13,5.71
639392,3,APH10941204,2.44,1.21
639393,3,APH10765984,14.08,12.21
639394,3,APH10340767,3.98,7.98
639395,3,APH10337451,5.34,13.93
639396,3,APH10271494,2.16,9.3
639397,3,APH10986236,5.24,10.2
639398,3,APH10434041,3.25,12.59
639399,3,APH10333991,2.53,0.5
639400,3,APH10191972,6.09,9.3
639401,3,APH10514044,7.18,10.77
639402,3,APH10534559,6.88,4.5
639403,3,APH10606445,3.81,3.02
639404,3,APH10289991,3.45,1.15
639405,3,APH10533538,4.15,1.86
639406,3,APH10265356,4.97,13.81
639407,3,APH10187728,3.22,1.28
639408,3,APH10728269,5.99,6.54
639409,3,APH10226346,11.13,12.76
639410,3,APH10184514,8.62,5.52
639411,3,APH10462353,2.32,5.05
639412,3,APH10953724,4.59,11.9
639413,3,APH10841890,4.13,4.86
639414,3,APH10561662,2.05,3.91
639415,3,APH10932217,6.73,9.1
639416,3,APH10694218,3.37,1.31
639417,3,APH10870224,6.06,5.55
639418,3,APH10225263,6.11,14.26
639419,3,APH10536728,6.56,9.2
639420,3,APH10595445,12.22,10.62
639421,3,APH10575937,4.17,0.54
639422,3,APH10341260,2.9,1.88
639423,3,APH10402250,8.71,3.89
