user_id,user_ip,workflow_id,created_at,gold_standard,expert,metadata,annotations,subject_data
115,163.1.246.64,945,2015-05-01 10:41:59 UTC,,,"{""started_at"":""2015-05-01T10:41:49.406Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T10:42:00.663Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""5792"":{""maxx"":-7185692.154029,""maxy"":-2994955.641847,""minx"":-7188749.635160001,""miny"":-2997248.7526950003,""img_index"":135,""tilename_jpg"":""L15-0651E-0864N_010_037.jpg""}}"
115,163.1.246.64,945,2015-05-01 10:42:04 UTC,,,"{""started_at"":""2015-05-01T10:42:02.331Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T10:42:05.635Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":null}]","{""5886"":{""maxx"":-7216266.965338,""maxy"":-3020179.861178,""minx"":-7219324.446469001,""miny"":-3022472.972026,""img_index"":357,""tilename_jpg"":""L15-0651E-0864N_021_027.jpg""}}"
1845,90.56.25.250,945,2015-05-01 10:45:11 UTC,,,"{""started_at"":""2015-05-01T10:44:52.973Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T10:45:11.077Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":2}]","{""5745"":{""maxx"":-7194864.597422,""maxy"":-2974317.6442130003,""minx"":-7197922.0785529995,""miny"":-2976610.755061,""img_index"":1,""tilename_jpg"":""L15-0651E-0864N_001_034.jpg""}}"
1845,90.56.25.250,945,2015-05-01 10:45:34 UTC,,,"{""started_at"":""2015-05-01T10:45:13.404Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T10:45:34.624Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""5746"":{""maxx"":-7191807.1162910005,""maxy"":-2974317.6442130003,""minx"":-7194864.597422,""miny"":-2976610.755061,""img_index"":2,""tilename_jpg"":""L15-0651E-0864N_001_035.jpg""}}"
1845,90.56.25.250,945,2015-05-01 10:45:51 UTC,,,"{""started_at"":""2015-05-01T10:45:35.864Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T10:45:51.871Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":0},{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":0}]","{""5748"":{""maxx"":-7185692.154029,""maxy"":-2974317.6442130003,""minx"":-7188749.635160001,""miny"":-2976610.755061,""img_index"":4,""tilename_jpg"":""L15-0651E-0864N_001_037.jpg""}}"
,217.76.196.150,945,2015-05-01 10:47:43 UTC,,,"{""started_at"":""2015-05-01T10:47:17.379Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5"",""finished_at"":""2015-05-01T10:47:44.762Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""5792"":{""maxx"":-7185692.154029,""maxy"":-2994955.641847,""minx"":-7188749.635160001,""miny"":-2997248.7526950003,""img_index"":135,""tilename_jpg"":""L15-0651E-0864N_010_037.jpg""}}"
,129.67.95.189,945,2015-05-01 10:48:11 UTC,,,"{""started_at"":""2015-05-01T10:46:44.040Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T10:48:10.556Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""5792"":{""maxx"":-7185692.154029,""maxy"":-2994955.641847,""minx"":-7188749.635160001,""miny"":-2997248.7526950003,""img_index"":135,""tilename_jpg"":""L15-0651E-0864N_010_037.jpg""}}"
,129.67.95.189,945,2015-05-01 10:48:31 UTC,,,"{""started_at"":""2015-05-01T10:48:16.273Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T10:48:31.708Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""5886"":{""maxx"":-7216266.965338,""maxy"":-3020179.861178,""minx"":-7219324.446469001,""miny"":-3022472.972026,""img_index"":357,""tilename_jpg"":""L15-0651E-0864N_021_027.jpg""}}"
,129.67.95.189,945,2015-05-01 10:48:58 UTC,,,"{""started_at"":""2015-05-01T10:48:33.709Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T10:48:58.595Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""5898"":{""maxx"":-7231554.3709929995,""maxy"":-3024766.082874,""minx"":-7234611.852124001,""miny"":-3027059.1937220003,""img_index"":392,""tilename_jpg"":""L15-0651E-0864N_023_022.jpg""}}"
,129.67.95.189,945,2015-05-01 10:51:36 UTC,,,"{""started_at"":""2015-05-01T10:49:00.261Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T10:51:36.536Z"",""user_language"":""en"",""workflow_version"":""10678.10962""}","[{""task"":""init"",""value"":1},{""task"":""T2"",""value"":1}]","{""6054"":{""maxx"":-7246841.776648,""maxy"":-3054576.5239009997,""minx"":-7249899.257778999,""miny"":-3056869.63475,""img_index"":544,""tilename_jpg"":""L15-0651E-0864N_036_017.jpg""}}"
