maxx,maxy,minx,miny,no_priority,priority1,priority2,priority3,priority4,priority5,subject_id
-7185692.1540,-2994955.6418,-7188749.6352,-2997248.7527,0.9999,0.0000,0.0001,0.0000,0.0000,0.0000,5792
-7216266.9653,-3020179.8612,-7219324.4465,-3022472.9720,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5886
-7194864.5974,-2974317.6442,-7197922.0786,-2976610.7551,0.0357,0.0000,0.0000,0.9623,0.0001,0.0019,5745
-7191807.1163,-2974317.6442,-7194864.5974,-2976610.7551,0.4477,0.0001,0.0680,0.4617,0.0014,0.0211,5746
-7185692.1540,-2974317.6442,-7188749.6352,-2976610.7551,0.2583,0.0310,0.0014,0.6834,0.0019,0.0241,5748
-7231554.3710,-3024766.0829,-7234611.8521,-3027059.1937,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,5898
-7246841.7766,-3054576.5239,-7249899.2578,-3056869.6348,0.9999,0.0000,0.0000,0.0000,0.0000,0.0001,6054
-7182634.6729,-2974317.6442,-7185692.1540,-2976610.7551,0.5880,0.0001,0.0003,0.1416,0.2352,0.0349,5749
-7256014.2200,-3059162.7456,-7259071.7012,-3061455.8564,0.4528,0.0009,0.4467,0.0058,0.0078,0.0860,6070
-7256014.2200,-3068335.1890,-7259071.7012,-3070628.2998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6105
-7167347.2672,-2974317.6442,-7170404.7484,-2976610.7551,0.1582,0.0198,0.0008,0.0024,0.0010,0.8178,5750
-7164289.7861,-2974317.6442,-7167347.2672,-2976610.7551,0.0144,0.0000,0.0000,0.0000,0.9846,0.0010,5751
-7191807.1163,-2976610.7551,-7194864.5974,-2978903.8659,0.0004,0.0000,0.0000,0.0000,0.0000,0.9996,5754
-7164289.7861,-2976610.7551,-7167347.2672,-2978903.8659,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5758
-7161232.3050,-2976610.7551,-7164289.7861,-2978903.8659,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5759
-5711986.2489,-3160059.6229,-5715043.7300,-3162352.7338,0.9769,0.0000,0.0000,0.0000,0.0045,0.0186,6686
-7197922.0786,-2978903.8659,-7200979.5597,-2981196.9768,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5760
-7191807.1163,-2978903.8659,-7194864.5974,-2981196.9768,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5762
-7188749.6352,-2978903.8659,-7191807.1163,-2981196.9768,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5763
-7197922.0786,-2981196.9768,-7200979.5597,-2983490.0876,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5765
-7194864.5974,-2981196.9768,-7197922.0786,-2983490.0876,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5766
-7191807.1163,-2981196.9768,-7194864.5974,-2983490.0876,0.8995,0.0000,0.0000,0.0000,0.0000,0.1005,5767
-7197922.0786,-2983490.0876,-7200979.5597,-2985783.1985,0.2151,0.0000,0.0001,0.0003,0.0766,0.7078,5769
-7194864.5974,-2983490.0876,-7197922.0786,-2985783.1985,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5770
-5739503.5791,-3164645.8446,-5742561.0602,-3166938.9555,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,6715
-5739503.5791,-3171525.1772,-5742561.0602,-3173818.2880,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,7148
-5977987.1073,-3529250.4695,-5981044.5884,-3531543.5803,0.7719,0.0000,0.0001,0.0002,0.0003,0.2275,8205
-7246841.7766,-3072921.4107,-7249899.2578,-3075214.5215,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6126
-5763963.4281,-3215094.2833,-5767020.9093,-3217387.3941,0.0026,0.0000,0.0000,0.0000,0.0000,0.9974,7365
-5800653.2017,-3265542.7219,-5803710.6828,-3267835.8328,0.0001,0.0000,0.0006,0.9993,0.0000,0.0000,7585
-5828170.5319,-3293060.0521,-5831228.0130,-3295353.1630,0.0001,0.0000,0.0007,0.0000,0.9991,0.0000,7735
-5974929.6262,-3536129.8020,-5977987.1073,-3538422.9129,0.0545,0.0002,0.0004,0.0010,0.0013,0.9426,8239
-7237669.3333,-3013300.5286,-7240726.8144,-3015593.6395,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,5849
-7283531.5502,-3091266.2975,-7286589.0314,-3093559.4083,0.0000,0.0000,0.0000,0.0000,0.0002,0.9998,6197
-5705871.2866,-3141714.7361,-5708928.7678,-3144007.8470,0.0107,0.0000,0.0000,0.0000,0.0000,0.9893,6532
-5687526.3998,-3144007.8470,-5690583.8810,-3146300.9578,0.0004,0.0000,0.0000,0.0000,0.0000,0.9996,6554
-5724216.1734,-3148594.0687,-5727273.6546,-3150887.1795,0.0004,0.0000,0.0000,0.0000,0.0000,0.9996,6583
-7252956.7389,-3061455.8564,-7256014.2200,-3063748.9673,0.0262,0.0002,0.0004,0.0010,0.0014,0.9708,6079
-7191807.1163,-2983490.0876,-7194864.5974,-2985783.1985,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5771
-7197922.0786,-2985783.1985,-7200979.5597,-2988076.3093,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5772
-7197922.0786,-2988076.3093,-7200979.5597,-2990369.4202,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5775
-7197922.0786,-2990369.4202,-7200979.5597,-2992662.5310,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5776
-7182634.6729,-2990369.4202,-7185692.1540,-2992662.5310,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5778
-7179577.1918,-2990369.4202,-7182634.6729,-2992662.5310,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5779
-7207094.5219,-2992662.5310,-7210152.0031,-2994955.6418,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5781
-7185692.1540,-2990369.4202,-7188749.6352,-2992662.5310,0.9985,0.0000,0.0001,0.0003,0.0003,0.0008,5777
-7204037.0408,-2992662.5310,-7207094.5219,-2994955.6418,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5782
-7179577.1918,-2992662.5310,-7182634.6729,-2994955.6418,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5786
-7213209.4842,-2994955.6418,-7216266.9653,-2997248.7527,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5787
-7210152.0031,-2994955.6418,-7213209.4842,-2997248.7527,0.0144,0.0000,0.0000,0.0000,0.9846,0.0010,5788
-7204037.0408,-2994955.6418,-7207094.5219,-2997248.7527,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5790
-7200979.5597,-2994955.6418,-7204037.0408,-2997248.7527,0.1401,0.0001,0.0004,0.0009,0.0015,0.8571,5791
-7182634.6729,-2994955.6418,-7185692.1540,-2997248.7527,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5793
-7213209.4842,-2997248.7527,-7216266.9653,-2999541.8635,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5795
-7210152.0031,-2997248.7527,-7213209.4842,-2999541.8635,0.2151,0.0000,0.0001,0.0003,0.0766,0.7078,5796
-7185692.1540,-2997248.7527,-7188749.6352,-2999541.8635,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5799
-7182634.6729,-2997248.7527,-7185692.1540,-2999541.8635,0.9794,0.0000,0.0000,0.0000,0.0001,0.0205,5800
-7179577.1918,-2997248.7527,-7182634.6729,-2999541.8635,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5801
-7213209.4842,-2999541.8635,-7216266.9653,-3001834.9744,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5802
-7210152.0031,-2999541.8635,-7213209.4842,-3001834.9744,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5803
-7219324.4465,-3001834.9744,-7222381.9276,-3004128.0852,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5805
-7216266.9653,-3001834.9744,-7219324.4465,-3004128.0852,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5806
-7213209.4842,-3001834.9744,-7216266.9653,-3004128.0852,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5807
-7210152.0031,-3001834.9744,-7213209.4842,-3004128.0852,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5808
-7188749.6352,-3001834.9744,-7191807.1163,-3004128.0852,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5812
-7219324.4465,-3004128.0852,-7222381.9276,-3006421.1961,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5813
-5754790.9847,-3240318.5026,-5757848.4659,-3242611.6135,0.0013,0.0000,0.0000,0.0015,0.9971,0.0000,7481
-5849572.8998,-3295353.1630,-5852630.3809,-3297646.2738,0.9980,0.0000,0.0001,0.0002,0.0003,0.0013,7748
-5984102.0696,-3549888.4671,-5987159.5507,-3552181.5780,0.9772,0.0000,0.0000,0.0000,0.0047,0.0181,8306
-5809825.6451,-3270128.9436,-5812883.1262,-3272422.0545,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7608
-5825113.0507,-3283887.6087,-5828170.5319,-3286180.7196,0.0000,0.0000,0.0006,0.9994,0.0000,0.0000,7664
-5867917.7866,-3311404.9389,-5870975.2677,-3313698.0498,0.0001,0.0000,0.0002,0.9930,0.0001,0.0066,7880
-5977987.1073,-3559060.9105,-5981044.5884,-3561354.0214,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,8361
-7249899.2578,-3052283.4131,-7252956.7389,-3054576.5239,0.9980,0.0000,0.0001,0.0002,0.0003,0.0013,6043
-7274359.1068,-3075214.5215,-7277416.5880,-3077507.6324,0.0005,0.0000,0.0000,0.0000,0.9993,0.0001,6128
-5718101.2112,-3157766.5121,-5721158.6923,-3160059.6229,0.9809,0.0000,0.0000,0.0000,0.0000,0.0191,6666
-5739503.5791,-3162352.7338,-5742561.0602,-3164645.8446,0.0001,0.0000,0.0001,0.9984,0.0003,0.0012,6696
-7213209.4842,-3004128.0852,-7216266.9653,-3006421.1961,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5815
-7210152.0031,-3004128.0852,-7213209.4842,-3006421.1961,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5816
-5840400.4564,-3290766.9413,-5843457.9375,-3293060.0521,0.0000,0.0000,0.0000,0.0037,0.9845,0.0117,7712
-7207094.5219,-3004128.0852,-7210152.0031,-3006421.1961,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5817
-5846515.4187,-3309111.8281,-5849572.8998,-3311404.9389,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,7867
-7191807.1163,-3004128.0852,-7194864.5974,-3006421.1961,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5819
-7188749.6352,-3004128.0852,-7191807.1163,-3006421.1961,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5820
-5800653.2017,-3295353.1630,-5803710.6828,-3297646.2738,0.1488,0.0002,0.0004,0.0022,0.0056,0.8428,7764
-7219324.4465,-3006421.1961,-7222381.9276,-3008714.3069,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5821
-7216266.9653,-3006421.1961,-7219324.4465,-3008714.3069,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5822
-7207094.5219,-3006421.1961,-7210152.0031,-3008714.3069,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5825
-7277416.5880,-3079800.7432,-7280474.0691,-3082093.8541,0.8866,0.0000,0.0095,0.0067,0.0935,0.0037,6143
-7194864.5974,-3006421.1961,-7197922.0786,-3008714.3069,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5827
-5767020.9093,-3228852.9484,-5770078.3904,-3231146.0592,0.0173,0.0000,0.0001,0.1524,0.0051,0.8251,7444
-5702813.8055,-3130249.1819,-5705871.2866,-3132542.2927,0.9930,0.0000,0.0000,0.0000,0.0000,0.0070,6396
-5849572.8998,-3304525.6064,-5852630.3809,-3306818.7172,0.0173,0.0000,0.0001,0.1524,0.0051,0.8251,7827
-5730331.1357,-3160059.6229,-5733388.6168,-3162352.7338,0.0183,0.0144,0.1363,0.0763,0.7430,0.0118,6680
-5977987.1073,-3545302.2454,-5981044.5884,-3547595.3563,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8286
-5965757.1828,-3552181.5780,-5968814.6639,-3554474.6888,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8324
-5987159.5507,-3526957.3586,-5990217.0318,-3529250.4695,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8191
-7219324.4465,-3008714.3069,-7222381.9276,-3011007.4178,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5830
-7277416.5880,-3123369.8493,-7280474.0691,-3125662.9602,0.0173,0.0000,0.0001,0.1524,0.0051,0.8251,6353
-7216266.9653,-3008714.3069,-7219324.4465,-3011007.4178,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5831
-5702813.8055,-3141714.7361,-5705871.2866,-3144007.8470,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6533
-7197922.0786,-3008714.3069,-7200979.5597,-3011007.4178,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5836
-7194864.5974,-3008714.3069,-7197922.0786,-3011007.4178,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5837
-7191807.1163,-3008714.3069,-7194864.5974,-3011007.4178,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5838
-7188749.6352,-3008714.3069,-7191807.1163,-3011007.4178,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5839
-7219324.4465,-3011007.4178,-7222381.9276,-3013300.5286,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5840
-5742561.0602,-3169232.0663,-5745618.5413,-3171525.1772,0.0007,0.0000,0.0008,0.0033,0.9930,0.0023,7128
-7200979.5597,-3011007.4178,-7204037.0408,-3013300.5286,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5844
-7197922.0786,-3011007.4178,-7200979.5597,-3013300.5286,0.0061,0.0000,0.0000,0.0000,0.0000,0.9939,5845
-5812883.1262,-3322870.4931,-5815940.6073,-3325163.6040,0.6911,0.0000,0.0000,0.0005,0.0039,0.3045,7971
-5968814.6639,-3540716.0237,-5971872.1450,-3543009.1346,0.9996,0.0000,0.0000,0.0000,0.0000,0.0004,8265
-7194864.5974,-3011007.4178,-7197922.0786,-3013300.5286,0.0197,0.0000,0.9786,0.0008,0.0001,0.0008,5846
-7197922.0786,-3013300.5286,-7200979.5597,-3015593.6395,0.9924,0.0000,0.0000,0.0000,0.0000,0.0076,5859
-5724216.1734,-3169232.0663,-5727273.6546,-3171525.1772,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7134
-5678353.9565,-3144007.8470,-5681411.4376,-3146300.9578,0.9896,0.0000,0.0001,0.0005,0.0003,0.0095,6557
-5794538.2394,-3286180.7196,-5797595.7206,-3288473.8304,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7689
-5843457.9375,-3332042.9365,-5846515.4187,-3334336.0474,0.0002,0.0000,0.0001,0.9727,0.0001,0.0270,8022
-5730331.1357,-3146300.9578,-5733388.6168,-3148594.0687,0.0047,0.0000,0.0002,0.4011,0.5238,0.0701,6558
-5687526.3998,-3137128.5144,-5690583.8810,-3139421.6253,0.9998,0.0000,0.0000,0.0000,0.0000,0.0001,6503
-5751733.5036,-3162352.7338,-5754790.9847,-3164645.8446,0.8086,0.0000,0.0000,0.0002,0.0001,0.1911,6692
-5681411.4376,-3146300.9578,-5684468.9187,-3148594.0687,0.8789,0.0000,0.0000,0.0002,0.0001,0.1208,6572
-5730331.1357,-3169232.0663,-5733388.6168,-3171525.1772,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7132
-5736446.0979,-3203628.7290,-5739503.5791,-3205921.8399,0.0009,0.0000,0.0000,0.0000,0.0000,0.9991,7307
-5809825.6451,-3281594.4979,-5812883.1262,-3283887.6087,0.0000,0.0000,0.0031,0.9968,0.0000,0.0000,7660
-6002446.9563,-3556767.7997,-6005504.4375,-3559060.9105,0.8044,0.0000,0.0000,0.0000,0.0000,0.1956,8339
-7222381.9276,-3031645.4154,-7225439.4087,-3033938.5263,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5938
-7219324.4465,-3013300.5286,-7222381.9276,-3015593.6395,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5855
